Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Student Academics Performance,9/15/2018,"The dataset tried to find the end semester percentage prediction based on different social, economic and academic attributes.",Multivariate,Computer Science,Classification,-,300,22
News Popularity in Multiple Social Media Platforms,2/19/2018,"Large data set of news items and their respective social feedback on multiple platforms: Facebook, Google+ and LinkedIn.","Multivariate, Time-Series, Text",Computer Science,Regression,"Integer, Real",93239,-
Rice Leaf Diseases,4/13/2019,"There are three classes/diseases: Bacterial leaf blight, Brown spot, and Leaf smut, each having 40 images. The format of all images is jpg.",Multivariate,Computer Science,Classification,Integer,120,-
Bosch CNC Machining Dataset,Linked on 11/9/2022,"Manufacturing processes have undergone tremendous technological progress in recent decades. To meet the agile philosophy in industry, data-driven algorithms need to handle growing complexity, particularly in Computer Numerical Control machining. To enhance the scalability of machine learning in real-world applications, this paper presents a benchmark dataset for process monitoring of brownfield milling machines based on acceleration data. The data is collected from a real-world production plant using a smart data collection system over a two-years period. In this work, the edge-to-cloud setup is presented followed by an extensive description of the different normal and abnormal processes. An analysis of the dataset highlights the challenges of machine learning in industry caused by the environmental and industrial factors. The new dataset is published with this paper and available at: https://github.com/boschresearch/CNC_Machining.","Multivariate, Time-Series",Engineering,"Classification, Clustering",Real,2700,3
Post-Operative Patient,5/31/1993,Dataset of patient features,Multivariate,Health and Medicine,Classification,"Categorical, Integer",90,8
Mice Protein Expression,8/3/2015,"Expression levels of 77 proteins measured in the cerebral cortex of 8 classes of control and Down syndrome mice exposed to context fear conditioning, a task used to assess associative learning.",Multivariate,Biology,"Classification, Clustering",Real,1080,80
Chess (King-Rook vs. King-Knight),10/2/1988,Knight Pin Chess End-Game Database Creator,"Multivariate, Data-Generator",Games,Classification,"Categorical, Integer",-,-
Basketball dataset,7/1/2019,"It's data collected from different volunteers that are done in a basketball practice: dribbling, pass, shoot, picking the ball, and holding the ball.",Time-Series,Games,Classification,Integer,10000,7
South German Credit,11/28/2019,700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.,Multivariate,Business,"Classification, Regression, Clustering","Integer, Real",1000,21
Hepatitis C Virus (HCV) for Egyptian patients,9/29/2019,Egyptian patients who underwent treatment dosages for HCV about 18 months. Discretization should be applied based on expert recommendations; there is an attached file shows how.,Multivariate,Health and Medicine,Classification,Real,1385,28
Pedestrians in Traffic,7/3/2019,This data-set contains a number of pedestrian tracks recorded from a vehicle driving in a town in southern Germany. The data is particularly well-suited for multi-agent motion prediction tasks.,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Causal-Discovery",Real,4760,14
Molecular Biology (Protein Secondary Structure),N/A,From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins,Sequential,Biology,Classification,Categorical,128,-
Airfoil Self-Noise,3/3/2014,"NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.",Multivariate,Physics and Chemistry,Regression,Real,1503,5
Gas Turbine CO and NOx Emission Data Set,11/28/2019,"The dataset contains 36733 instances of 11 sensor measures aggregated over one hour, from a gas turbine located in Turkey for the purpose of studying flue gas emissions, namely CO and NOx.",Multivariate,Computer Science,"Regression, Clustering",Real,36733,12
Drug Reviews (Druglib.com),10/1/2018,"The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment.","Multivariate, Text",Health and Medicine,"Classification, Regression, Clustering",Integer,4143,8
Power Consumption of Tetouan City,8/13/2023,This dataset is related to power consumption of three different distribution networks of Tetouan city which is located in north Morocco.,"Multivariate, Time-Series",Social Science,Regression,"Real, Integer",52417,6
Skin Segmentation,7/16/2012,"The Skin Segmentation dataset is constructed over B, G, R color space. Skin and Nonskin dataset is generated using skin textures from face images of diversity of age, gender, and race people.",Univariate,Computer Science,Classification,Real,245057,3
KDD Cup 1998,7/19/1998,"This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98",Multivariate,Other,Regression,"Categorical, Integer",191779,-
Statlog (Image Segmentation),10/31/1990,This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form.,Multivariate,Other,Classification,Real,2310,19
EMG Data for Gestures,1/6/2019,These are files of raw EMG data recorded by MYO Thalmic bracelet,Time-Series,Health and Medicine,Classification,Real,30000,-
Paper Reviews,10/22/2017,This sentiment analysis data set contains scientific paper reviews from an international conference on computing and informatics. The task is to predict the orientation or the evaluation of a review.,Text,Computer Science,"Classification, Regression",Integer,405,10
Trains,6/23/1994,"2 data formats (structured, one-instance-per-line)",Multivariate,Other,Classification,Categorical,10,-
ImageNet,Linked on 11/26/2021,A well-known large-scale image classification dataset with between 1000 and 20000 class labels and multiple million images.,Image,Computer Science,Classification,-,14000000,-
Pittsburgh Bridges,7/31/1990,Bridges database that has original and numeric-discretized datasets,Multivariate,Other,Classification,"Categorical, Integer",108,12
Dota2 Games Results,8/13/2016,Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.,Multivariate,Games,Classification,-,102944,115
Tennis Major Tournament Match Statistics,5/31/2014,This is a collection of 8 files containing the match statistics for both women and men at the four major tennis tournaments of the year 2013. Each file has 42 columns and a minimum of 76 rows.,Multivariate,Other,"Classification, Regression, Clustering","Integer, Real",127,42
OPPORTUNITY Activity Recognition,6/8/2012,"The OPPORTUNITY Dataset for Human Activity Recognition from Wearable, Object, and Ambient Sensors is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc).","Multivariate, Time-Series",Computer Science,Classification,Real,2551,-
Occupancy Detection,2/28/2016,"Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.","Multivariate, Time-Series",Computer Science,Classification,Real,20560,6
Single Elder Home Monitoring: Gas and Position,5/27/2023,"This dataset contains gas and temperature sensors as well as movement infra-red sensors from the monitoring of an elder person living alone in their own home from 2019-11-06 to 2020-02-13. The measurings have a temporal resolution of 20 seconds. The air and gas sensors measure temperature, humidity, CO2, CO and MOX readings. The data from the position sensors are binary; for each room, a 1 means that movement has been detected in that room while a 0 means that the sensor has gone back to baseline. The attached figure represents a simple layout of the monitored home as well as the sensors locations. The dataset also includes 19 days of measurements (from 2020-01-25 to 2020-02-13) where noone was occupying the room (except for an esporadic visit the 2020-01-29 at 15:), as reference data",Tabular,Engineering,Classification,Real,444631,10
Steel Industry Energy Consumption,8/13/2023,The data is collected from a smart small-scale steel industry in South Korea.,Multivariate,Physics and Chemistry,Regression,"Real, Categorical",35040,9
HTRU2,2/13/2017,"Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery.",Multivariate,Physics and Chemistry,"Classification, Clustering",Real,17898,8
Gas Sensor Array Drift at Different Concentrations,10/22/2013,This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.,"Multivariate, Time-Series",Computer Science,"Classification, Regression, Clustering, Causa",Real,13910,128
YouTube Spam Collection,3/25/2017,"It is a public set of comments collected for spam research. It has five datasets composed by 1,956 real messages extracted from five videos that were among the 10 most viewed on the collection period.",Text,Computer Science,Classification,-,1956,3
Shuttle Landing Control,10/31/1988,Tiny database; all nominal values,Multivariate,Physics and Chemistry,Classification,Categorical,15,6
Travel Review Ratings,12/18/2018,Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated.,"Multivariate, Text",Other,"Classification, Clustering",Real,5456,24
User Knowledge Modeling,6/25/2013,It is the real dataset about the students' knowledge status about the subject of Electrical DC Machines. The dataset had been obtained from Ph.D. Thesis.,Multivariate,Computer Science,"Classification, Clustering",Integer,403,5
E. Coli Genes,7/13/2001,"Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided.",Relational,Biology,-,-,-,-
FMA: A Dataset For Music Analysis,5/23/2017,"FMA features 106,574 tracks and includes song title, album, artist, genres; play counts, favorites, comments; description, biography, tags; together with audio (343 days, 917 GiB) and features.","Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,106574,-
Australian Sign Language Signs (High Quality),2/25/2002,This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers,"Multivariate, Time-Series",Other,Classification,Real,2565,-
Cervical Cancer Behavior Risk,7/16/2019,"The dataset contains 19 attributes regarding ca cervix behavior risk with class label is ca_cervix with 1 and 0 as values which means the respondent with and without ca cervix, respectively.","Multivariate, Univariate",Health and Medicine,"Classification, Clustering",Integer,72,19
Diabetic Retinopathy Debrecen,11/2/2014,This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.,Multivariate,Health and Medicine,Classification,"Integer, Real",1151,19
Parkinson's Speech with Multiple Types of Sound Recordings,6/11/2014,"The training data belongs to 20 Parkinson's Disease (PD) patients and 20 healthy subjects. From all subjects, multiple types of sound recordings (26) are taken.",Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",1040,-
CIFAR-10,Linked on 11/24/2021,"A well-known image classification dataset, 10 classes, 32 x 32 pixel images.",Image,Computer Science,Classification,-,60000,-
Communities and Crime Unnormalized,3/1/2011,"Communities in the US. Data combines socio-economic data from the '90 Census, law enforcement data from the 1990 Law Enforcement Management and Admin Stats survey, and crime data from the 1995 FBI UCR",Multivariate,Social Science,Regression,Real,2215,125
Connectionist Bench (Vowel Recognition - Deterding Data),N/A,Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.,-,Other,Classification,Real,528,10
Physical Therapy Exercises,5/7/2022,"This dataset contains wearable inertial and magnetic sensor data during the execution of physical therapy exercises. There are eight types of physical therapy exercises, each of which has three execution types (correct, fast, and low-amplitude). Each execution type of each type of exercise was performed multiple times by five subjects. The subjects wore five MTx sensor units manufactured by XSens. Each unit contains three tri-axial sensors: an accelerometer, a gyroscope, and a magnetometer, sampled at 25 Hz.",Time-Series,Engineering,"Classification, Clustering, Other",-,268881,-
Bone marrow transplant: children,4/20/2020,"The data set describes pediatric patients with several hematologic diseases, who were subject to the unmanipulated allogeneic unrelated donor hematopoietic stem cell transplantation.",Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",187,36
PPG-DaLiA,7/29/2019,"PPG-DaLiA contains data from 15 subjects wearing physiological and motion sensors, providing a PPG dataset for motion compensation and heart rate estimation in Daily Life Activities.","Multivariate, Time-Series",Computer Science,Regression,Real,8300000,-
Alcohol QCM Sensor,7/21/2019,"Five different QCM gas sensors are used, and five different gas measurements (1-octanol, 1-propanol, 2-butanol, 2-propanol and 1-isobutanol) are conducted in each of these sensors.",Multivariate,Computer Science,"Classification, Regression, Clustering",Real,125,8
Amazon Commerce Reviews,6/10/2011,The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.,"Multivariate, Text, Domain-Theory",Other,Classification,Real,1500,10000
Palmer Penguins,Linked on 11/14/2021,"An introductory dataset presented as an alternative to Iris and useful for teaching data exploration/visualization. Data comes from 3 penguin species in the islands of Palmer Archipelago, Antarctica.",Tabular,Biology,Classification,-,344,-
NATICUSdroid (Android Permissions),4/24/2022,Contains permissions extracted from more than 29000 benign & malware Android apps released between 2010-2019.,Tabular,Computer Science,Classification,-,29333,86
Audit Data,7/13/2018,Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.,Multivariate,Business,Classification,Real,777,-
Cuff-Less Blood Pressure Estimation,7/26/2015,This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.,Multivariate,Health and Medicine,"Classification, Regression",Real,12000,-
Residential Building,2/18/2018,"Data set includes construction cost, sale prices, project variables, and economic variables corresponding to real estate single-family residential apartments in Tehran, Iran.",Multivariate,Computer Science,Regression,Real,372,-
Economic Sanctions,N/A,Domain Theory on Economic Sanctions; Undocumented,Domain-Theory,Business,-,-,-,-
Sepsis Survival Minimal Clinical Records,7/9/2023,"The dataset consists of 110,204 admissions of 84,811 hospitalized subjects between 2011 and 2012 in Norway who were diagnosed with infections, systemic inflammatory response syndrome, sepsis by causative microbes, or septic shock.  The prediction task is to determine whether a patient survived or is deceased at a time of about 9 days after collecting their medical record at the hospital.

This is an important prediction problem in clinical medicine. Sepsis is a life-threatening condition triggered by an immune overreaction to infection, leading to organ failure or even death. Sepsis is associated with immediate death risk, often killing patients within one hour. This renders many laboratory tests and hospital analyses impractical for timely diagnosis and treatment. Being able to predict the survival of patients within minutes with as few and easy-to-retrieve medical features as possible is very important.",Multivariate,Health and Medicine,Classification,Integer,110341,3
Concrete Slump Test,4/29/2009,"Concrete is a highly complex material. The slump flow of concrete is not only determined by the water content, but that is also influenced by other concrete ingredients.",Multivariate,Computer Science,Regression,Real,103,-
Autistic Spectrum Disorder Screening Data for Children,12/23/2017,Children screening data for autism suitable for classification and predictive tasks,Multivariate,Health and Medicine,Classification,Integer,292,20
Amazon Access Samples,9/12/2011,Amazon's InfoSec is getting smarter about the way Access data is leveraged. This is an anonymized sample of access provisioned within the company.,"Time-Series, Domain-Theory",Business,"Regression, Clustering, Causal-Discovery",-,30000,20000
Syskill and Webert Web Page Ratings,10/19/1998,This database contains HTML source of web pages plus the ratings of a single user on these web pages. Web pages are on four seperate subjects (Bands- recording artists; Goats; Sheep; and BioMedical),"Multivariate, Text",Computer Science,Classification,Categorical,332,5
Student Performance on an Entrance Examination,12/9/2018,This dataset contains data of the candidates who qualified the medical entrance examination for admission to medical colleges of Assam of a particular year and collected by Prof. Jiten Hazarika.,Multivariate,Computer Science,Classification,-,666,11
Detect Malware Types,6/2/2019,Provide a short description of your data set (less than 200 characters).,"Multivariate, Time-Series, Text",Computer Science,Classification,-,7107,280
Incident management process enriched event log,7/13/2019,This event log was extracted from data gathered from the audit system of an instance of the ServiceNow platform used by an IT company and enriched with data loaded from a relational database.,"Multivariate, Sequential",Business,"Regression, Clustering",Integer,141712,36
Air quality,7/21/2016,Contains the responses of a gas multisensor device deployed on the field in an Italian city.,"Multivariate, Time-Series",Other,Regression,Real,9358,15
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,10/5/2019,Contains accelerometer and gyroscope time-series sensor data collected from a smartphone and smartwatch as 51 test subjects perform 18 activities for 3 minutes each.,"Multivariate, Time-Series",Computer Science,Classification,Real,15630426,6
Mobile Robots,7/14/1995,Learning concepts from sensor data of a mobile robot; set of data sets,Domain-Theory,Computer Science,-,"Categorical, Integer, Real",-,-
Leaf,2/23/2014,This dataset consists in a collection of shape and texture features extracted from digital images of leaf specimens originating from a total of 40 different plant species.,Multivariate,Computer Science,Classification,Real,340,-
Toxicity,5/4/2022,"The dataset includes 171 molecules designed for functional domains of a core clock protein, CRY1, responsible for generating circadian rhythm. 56 of the molecules are toxic and the rest are non-toxic.",Tabular,Biology,Classification,-,171,1203
Forty Soybean Cultivars from Subsequent Harvests,10/28/2023,"Soybean cultivation is one of the most important because it is used in several segments of the food industry. The evaluation of soybean cultivars subject to different planting and harvesting characteristics is an ongoing field of research. We present a dataset obtained from forty soybean cultivars planted in subsequent seasons. The experiment used randomized blocks, arranged in a split-plot scheme, with four replications. The following variables were collected: plant height, insertion of the first pod, number of stems, number of legumes per plant, number of grains per pod, thousand seed weight, and grain yield, resulting in 320 data samples. The dataset presented can be used by researchers from different fields of activity.",Tabular,Other,"Classification, Regression, Clustering, Other","Real, Categorical, Integer",320,11
Acute Inflammations,2/10/2009,"The data was created by a medical expert as a data set to test the expert system, 
which will perform the presumptive diagnosis of two diseases of the urinary system.",Multivariate,Health and Medicine,Classification,"Categorical, Integer",120,6
Facebook Comment Volume,3/10/2016,Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.,Multivariate,Other,Regression,"Integer, Real",40949,-
MOVER: Medical Informatics Operating Room Vitals and Events Repository,Linked on 9/8/2023,"This first release of MOVER includes adult patients who underwent surgery at the University of California Irvine Medical Center from 2015 to 2022. Data for patients who underwent surgery were captured from two different sources: High-fidelity physiological waveforms from all of the operating rooms were captured in real time and matched with Electronic Medical Record Data. MOVER includes data from 58,799 unique patients and 83,468 surgeries. The dataset is freely available to all researchers who sign a data usage agreement.","Tabular, Sequential, Multivariate, Time-Series",Health and Medicine,"Classification, Regression, Clustering, Other",-,83468,-
Auction Verification,2/28/2022,"We modeled a simultaneous multi-round auction with BPMN models, transformed the latter to Petri nets, and used a model checker to verify whether certain outcomes of the auction are possible or not.",Tabular,Computer Science,"Classification, Regression",-,2043,7
Bitcoin Heist Ransomware Address,6/16/2020,BitcoinHeist datasets contains address features on the heterogeneous Bitcoin network to identify ransomware payments.,"Multivariate, Time-Series",Computer Science,"Classification, Clustering","Integer, Real",2916697,10
Water Treatment Plant,5/31/1993,Multiple classes predict plant state,Multivariate,Physics and Chemistry,Clustering,"Integer, Real",527,-
COVID-19 Surveillance,4/23/2020,Coronavirus Disease (COVID-19) Surveillance.,Multivariate,Computer Science,Classification,-,14,7
Thoracic Surgery Data,11/12/2013,"The data is dedicated to classification problem related to the post-operative life expectancy in the lung cancer patients: class 1 - death within one year after surgery, class 2 - survival.",Multivariate,Health and Medicine,Classification,"Integer, Real",470,16
Recipe Reviews and User Feedback,10/23/2023,"The ""Recipe Reviews and User Feedback Dataset"" is a comprehensive repository of data encompassing various aspects of recipe reviews and user interactions. It includes essential information such as the recipe name, its ranking on the top 100 recipes list, a unique recipe code, and user details like user ID, user name, and an internal user reputation score.

Each review comment is uniquely identified with a comment ID and comes with additional attributes, including the creation timestamp, reply count, and the number of up-votes and down-votes received. Users' sentiment towards recipes is quantified on a 1 to 5 star rating scale, with a score of 0 denoting an absence of rating.

This dataset is a valuable resource for researchers and data scientists, facilitating endeavors in sentiment analysis, user behavior analysis, recipe recommendation systems, and more. It offers a window into the dynamics of recipe reviews and user feedback within the culinary website domain.","Tabular, Other",Computer Science,"Classification, Other","Real, Categorical, Integer",18182,15
Parking Birmingham,1/1/2019,"Data collected from car parks in Birmingham that are operated by NCP from 
Birmingham City Council. UK Open Government Licence (OGL).
https://data.birmingham.gov.uk/dataset/birmingham-parking","Multivariate, Univariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Real,35717,4
Perfume Data,7/21/2014,This data consists of odors of 20 different perfumes. Data was obtained by using a handheld odor meter (OMX-GR sensor) per second for 28 seconds period.,"Univariate, Domain-Theory",Computer Science,"Classification, Clustering",Integer,560,-
UJIIndoorLoc,9/17/2014,The UJIIndoorLoc is a Multi-Building Multi-Floor indoor localization database to test Indoor Positioning System that rely on WLAN/WiFi fingerprint.,Multivariate,Computer Science,"Classification, Regression","Integer, Real",21048,-
Hungarian Chickenpox Cases,2/16/2021,A spatio-temporal dataset of weekly chickenpox cases from Hungary. The dataset consists of a county-level adjacency matrix and time series of the county-level reported cases between 2005 and 2015.,Time-Series,Health and Medicine,Regression,Real,521,20
Condition Based Maintenance of Naval Propulsion Plants,9/10/2014,"Data have been generated from a sophisticated simulator of a Gas Turbines (GT), mounted on a Frigate characterized by a COmbined Diesel eLectric And Gas (CODLAG) propulsion plant type.",Multivariate,Computer Science,Regression,Real,11934,-
Gas sensor array under dynamic gas mixtures,3/19/2015,"The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours.","Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,4178504,19
Open University Learning Analytics dataset,12/20/2015,"Open University Learning Analytics Dataset contains data about courses, students and their interactions with Virtual Learning Environment for seven selected courses and more than 30000 students.","Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Integer,-,-
Smartphone-Based Recognition of Human Activities and Postural Transitions,7/28/2015,Activity recognition data set built from the recordings of 30 subjects performing basic activities and postural transitions while carrying a waist-mounted smartphone with embedded inertial sensors.,"Multivariate, Time-Series",Health and Medicine,Classification,Real,10929,-
Semeion Handwritten Digit,11/10/2008,"1593 handwritten digits from around 80 persons were scanned, stretched in a rectangular box 16x16 in a gray scale of 256 values.",Multivariate,Computer Science,Classification,Integer,1593,-
Turkish User Reviews,1/5/2023,"This dataset contains Turkish comments made by customers on products (computer, tea machine, head phones, modem, parfume, mobile phone, TV, usb)sold on a website. This dataset created by Asst. Prof. Dr. Ekin Ekinci and Prof. SevinÃ§ Ä°lhan Omurca. Please refer to the study ""An alternative word embedding approach for knowledge representation in online consumersâ reviews"" when using this dataset.",Text,Computer Science,Other,-,37056,-
IPUMS Census Database,11/8/1999,"This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990.",Multivariate,Social Science,-,"Categorical, Integer",256932,-
Yacht Hydrodynamics,1/2/2013,"Delft data set, used to predict the hydodynamic performance of sailing yachts from dimensions and velocity.",Multivariate,Physics and Chemistry,Regression,Real,308,-
Internet Firewall Data,2/3/2019,this data set was collected from the internet traffic records on a university's firewall.,Multivariate,Computer Science,Classification,-,65532,12
Gas Sensor Array Drift Dataset,4/24/2012,This archive contains 13910 measurements from 16 chemical sensors utilized in simulations for drift compensation in a discrimination task of 6 gases at various levels of concentrations.,Multivariate,Computer Science,Classification,Real,13910,-
Accelerometer Gyro Mobile Phone,11/24/2022,"data collected on 2022, in King Saud University in riyadh for recognizing human activities using mobile phone IMU sensors (Accelerometer, and Gyroscope). these activity is calssified to standing(stop), or walking.","Tabular, Sequential, Multivariate, Time-Series",Computer Science,Classification,"Real, Categorical",31991,8
UNIX User Data,N/A,This file contains 9 sets of sanitized user data drawn from the command histories of 8 UNIX computer users at Purdue over the course of up to 2 years.,"Text, Sequential",Computer Science,-,-,-,-
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,7/19/2017,"Handwriting database consists of 62 PWP(People with Parkinson) and 15 healthy individuals. Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken.",Multivariate,Computer Science,"Classification, Regression, Clustering",Integer,77,-
Behavior of the urban traffic of the city of Sao Paulo in Brazil,12/11/2018,The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil.,"Multivariate, Time-Series",Computer Science,"Classification, Regression","Integer, Real",135,18
Teaching Assistant Evaluation,6/6/1997,"The data consist of evaluations of teaching performance; scores are ""low"", ""medium"", or ""high""",Multivariate,Other,Classification,"Categorical, Integer",151,-
Robot Execution Failures,4/22/1999,This dataset contains force and torque measurements on a robot after failure detection. Each failure is characterized by 15 force/torque samples collected at regular time intervals,"Multivariate, Time-Series",Physics and Chemistry,Classification,Integer,463,90
Human Activity Recognition from Continuous Ambient Sensor Data,9/19/2019,This dataset represents ambient data collected in homes with volunteer residents.  Data are collected continuously while residents perform their normal routines.,"Multivariate, Sequential, Time-Series",Other,Classification,"Integer, Real",13956534,-
News Aggregator,2/27/2016,References to news pages collected from an web aggregator in the period from 10-March-2014 to 10-August-2014. The resources are grouped into clusters that represent pages discussing the same story.,Multivariate,Other,"Classification, Clustering",-,422937,-
Las Vegas Strip,7/22/2017,"This dataset includes quantitative and categorical features from online reviews from 21 hotels located in Las Vegas Strip, extracted from TripAdvisor (http://www.tripadvisor.com).",-,Business,"Classification, Regression",Integer,504,-
Japanese Vowels,N/A,This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.,"Multivariate, Time-Series",Other,Classification,Real,640,-
Gas sensor array temperature modulation,4/14/2019,A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber.,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,4095000,-
GPS Trajectories,2/28/2016,The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store(https://play.google.com/store/apps/details?id=com.go.router).,Multivariate,Computer Science,"Classification, Regression",Real,163,15
Chess (Domain Theories),N/A,6 different domain theories for generating legal moves of chess,Domain-Theory,Games,-,-,-,-
RealWaste,10/17/2023,"An image classification dataset of waste items across 9 major material types, collected within an authentic landfill environment.",Image,Computer Science,Classification,-,4752,-
Synchronous Machine,4/20/2021,Synchronous motors (SMs) are AC motors with constant speed.A SM dataset is obtained from a real experimental set. The task is to create the strong models to estimate the excitation current of SM.,Multivariate,Computer Science,Regression,Real,557,5
Legal Case Reports,10/18/2012,"A textual corpus of 4000 legal cases for automatic summarization and citation analysis. For each document we collect catchphrases, citations sentences, citation catchphrases and citation classes.",Text,Other,Classification,-,-,-
Turkiye Student Evaluation,8/31/2013,This data set contains a total 5820 evaluation scores provided by students from Gazi University in Ankara (Turkey). There is a total of 28 course specific questions and additional 5 attributes.,Multivariate,Other,"Classification, Clustering",-,5820,-
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
